ЖК Discoveryв Нур-Султане (Астане),Цена / м2от ‍431 000 ₸≈ $990,BAZIS-А,BAZIS-А,ул. Байтурсынова / ул. Азербаева,"Жилой квартал Discovery – новый проект компании BAZIS-A. Новостройка сочетает уникальную архитектуру и продуманное благоустройство общественных территорий, что в совокупности позволит создать принципиально новый уровень качества жизни."
//storage.googleapis.com/bd-kz-01/layouts-180x180/108416.jpg,2,63.86–69.26 м2,от ‍452 000 ₸ / м2≈ $1 040,от ‍28 864 720 ₸≈ $66 480
//storage.googleapis.com/bd-kz-01/layouts-180x180/32931.jpg,3,88.03–99.46 м2,от ‍431 000 ₸ / м2≈ $990,от ‍37 940 930 ₸≈ $87 380
//storage.googleapis.com/bd-kz-01/layouts-180x180/108435.jpg,4,от 109.07 м2,от ‍431 000 ₸ / м2≈ $990,от ‍47 009 170 ₸≈ $108 260
Класс,III класс (комфорт)
Количество домов,9
Наличие лифта,"да, 1 пассажирский"
Технология строительства,монолитно-каркасная
Фасад,"фиброцементные панели, натуральный камень"
Этажность,9–12–15–18–22
"['Класс', 'III класс (комфорт)']"
"['Количество домов', '9']"
"['Наличие лифта', 'да, 1 пассажирский']"
"['Технология строительства', 'монолитно-каркасная']"
"['Фасад', 'фиброцементные панели, натуральный камень']"
"['Этажность', '9–12–15–18–22']"
