ЖК Amanв Нур-Султане (Астане),Цена / м2от ‍439 000 ₸≈ $1 010,BAZIS-А,BAZIS-А,просп. Мәңгілік Ел,"Современный жилой комплекс AMAN, расположенный в динамично развивающимся районе столицы, по пр. Мангилик Ел, открывает большие возможности для интересной и насыщенной событиями жизни."
//storage.googleapis.com/bd-kz-01/layouts-180x180/93106.jpg,1,от 34.56 м2,от ‍472 000 ₸ / м2≈ $1 090,от ‍16 312 320 ₸≈ $37 570
//storage.googleapis.com/bd-kz-01/layouts-180x180/108444.jpg,2,49.66–53.26 м2,от ‍439 000 ₸ / м2≈ $1 010,от ‍23 381 140 ₸≈ $53 850
//storage.googleapis.com/bd-kz-01/layouts-180x180/108800.png,3,от 73.46 м2,от ‍439 000 ₸ / м2≈ $1 010,от ‍32 248 940 ₸≈ $74 270
Класс,III класс (комфорт)
Количество домов,2
Наличие лифта,да
Территория,"детская площадка, зона для прогулок и отдыха"
Технология строительства,монолитно-каркасная
Фасад,фиброцементные панели
Этажность,16–19
"['Класс', 'III класс (комфорт)']"
"['Количество домов', '2']"
"['Наличие лифта', 'да']"
"['Территория', 'детская площадка, зона для прогулок и отдыха']"
"['Технология строительства', 'монолитно-каркасная']"
"['Фасад', 'фиброцементные панели']"
"['Этажность', '16–19']"
