ЖК Qazaq Eli Sairamв Нур-Султане (Астане),Цена / м2от ‍345 990 ₸≈ $800,Группа компаний MWC,Группа компаний MWC,пересечение ул. А. Байтурсынова - Нажимеденова и ул.А-82,Жилой комплекс Qazaq Eli – квартал в экологичном и динамично развивающемся районе Нур-Султана.
//storage.googleapis.com/bd-kz-01/layouts-180x180/105726.jpg,2,57.79–63.21 м2,от ‍350 990 ₸ / м2≈ $810,от ‍21 150 562 ₸≈ $48 710
//storage.googleapis.com/bd-kz-01/layouts-180x180/105725.jpg,3,86.06–97.74 м2,от ‍315 990 ₸ / м2≈ $730,от ‍28 170 509 ₸≈ $64 880
//storage.googleapis.com/bd-kz-01/layouts-180x180/105732.jpg,4,от 100.87 м2,от ‍340 990 ₸ / м2≈ $790,от ‍34 395 661 ₸≈ $79 210
//storage.googleapis.com/bd-kz-01/layouts-180x180/107573.jpg,К,31.14–159.04 м2,от ‍350 989 ₸ / м2≈ $810,от ‍14 978 029 ₸≈ $34 490
Класс,комфорт +
Количество домов,3
Наличие лифта,"да, пассажирские и грузовые"
Отопление,центральное
Паркинг,не предусмотрен
Территория,круглосуточная система видеонаблюдения
Технология строительства,"кирпич (секция 1–1 и 1–2), монолит (секция 2, 3, 4)"
Фасад,фиброцементные панели
Этажность,"9 этажей (секция 1–1 и 1–2), 17 этажей (секция 2, 3, 4)"
"['Класс', 'комфорт +']"
"['Количество домов', '3']"
"['Наличие лифта', 'да, пассажирские и грузовые']"
"['Отопление', 'центральное']"
"['Паркинг', 'не предусмотрен']"
"['Территория', 'круглосуточная система видеонаблюдения']"
"['Технология строительства', 'кирпич (секция 1–1 и 1–2), монолит (секция 2, 3, 4)']"
"['Фасад', 'фиброцементные панели']"
"['Этажность', '9 этажей (секция 1–1 и 1–2), 17 этажей (секция 2, 3, 4)']"
