ЖК Argentoв Нур-Султане (Астане),Цена / м2от ‍549 000 ₸≈ $1 260,BAZIS-А,BAZIS-А,ул. Акмешит / ул. Орынбор,"ЖК ARGENTO в Нур-Султане – современный жилой комплекс, где созданы условия для комфорта и самовыражения. Жить здесь – значит, быть в тренде!"
//storage.googleapis.com/bd-kz-01/layouts-180x180/90524.jpg,1,от 44.66 м2,от ‍570 000 ₸ / м2≈ $1 310,от ‍25 456 200 ₸≈ $58 630
//storage.googleapis.com/bd-kz-01/layouts-180x180/90526.jpg,2,от 73.98 м2,от ‍578 000 ₸ / м2≈ $1 330,от ‍42 760 440 ₸≈ $98 480
//storage.googleapis.com/bd-kz-01/layouts-180x180/110892.png,3,от 107.35 м2,от ‍549 000 ₸ / м2≈ $1 260,от ‍58 935 150 ₸≈ $135 730
Класс,II класс (бизнес)
Количество домов,4
Наличие лифта,"да, 1 пассажирский, 2 грузопассажирских"
Паркинг,надземный
Технология строительства,монолитно-каркасная
Фасад,фибробетонные панели
Этажность,21
"['Класс', 'II класс (бизнес)']"
"['Количество домов', '4']"
"['Наличие лифта', 'да, 1 пассажирский, 2 грузопассажирских']"
"['Паркинг', 'надземный']"
"['Технология строительства', 'монолитно-каркасная']"
"['Фасад', 'фибробетонные панели']"
"['Этажность', '21']"
