ЖК Imranв Нур-Султане (Астане),Цена / м2от ‍290 000 ₸≈ $670на ‍10 000 ₸≈ $20,Nomad Group,Nomad Group,ул. Ж. Нажимеденова,"Жилой комплекс Imran – современная многосекционная новостройка с большими квартирами, спроектированная в современном стиле, позволяющем удачно вписаться в окружающий архитектурный ансамбль."
//storage.googleapis.com/bd-kz-01/layouts-180x180/108202.jpg,1,38.02–45.11 м2,от ‍300 000 ₸ / м2≈ $690,от ‍11 460 000 ₸≈ $26 390
//storage.googleapis.com/bd-kz-01/layouts-180x180/108204.jpg,2,44.82–67.24 м2,от ‍290 000 ₸ / м2≈ $670,от ‍13 827 200 ₸≈ $31 840
//storage.googleapis.com/bd-kz-01/layouts-180x180/110758.jpg,3,84.33–89.42 м2,от ‍290 000 ₸ / м2≈ $670,от ‍24 455 700 ₸≈ $56 320
//storage.googleapis.com/bd-kz-01/layouts-180x180/116931.jpg,К,90.2–167.6 м2,от ‍400 000 ₸ / м2≈ $920,от ‍36 080 000 ₸≈ $83 090
Класс,III класс (комфорт)
Количество домов,1
Количество секций,10
Наличие лифта,"пассажирские, грузовые"
Отопление,центральное
Паркинг,"надземный (1-уровневый, отапливаемый, 140 машиномест)"
Площадь застройки,"1,2389 га"
Стены,газоблок
Территория,"круглосуточная система видеонаблюдения, игровая площадка и мини-поле для футбола, зоны для отдыха"
Технология строительства,монолитно-каркасная
Утепление,минеральная плита 120 мм
Фасад,фиброцементные панели
Этажность,9
"['Класс', 'III класс (комфорт)']"
"['Количество домов', '1']"
"['Количество секций', '10']"
"['Наличие лифта', 'пассажирские, грузовые']"
"['Отопление', 'центральное']"
"['Паркинг', 'надземный (1-уровневый, отапливаемый, 140 машиномест)']"
"['Площадь застройки', '1,2389 га']"
"['Стены', 'газоблок']"
"['Территория', 'круглосуточная система видеонаблюдения, игровая площадка и мини-поле для футбола, зоны для отдыха']"
"['Технология строительства', 'монолитно-каркасная']"
"['Утепление', 'минеральная плита 120 мм']"
"['Фасад', 'фиброцементные панели']"
"['Этажность', '9']"
