ЖК Багыстанв Нур-Султане (Астане),Цена / м2от ‍320 000 ₸≈ $740,Шар-Курылыс,Шар-Курылыс,ул. Аныракай / ул. Е111 / ул. Е117 / ул. Е120,"Жилой комплекс «Багыстан» - полноценный жилой микрорайон, который будет состоять из 35 домов. Название проекта переводится как «страна счастья». Именно таким комплекс станет после завершения работ по строительству и благоустройству."
//storage.googleapis.com/bd-kz-01/layouts-180x180/70355.png,2,53.29–65.1 м2,от ‍320 000 ₸ / м2≈ $740,от ‍17 052 800 ₸≈ $39 270
//storage.googleapis.com/bd-kz-01/layouts-180x180/70354.png,3,81.13–88.37 м2,от ‍320 000 ₸ / м2≈ $740,от ‍25 961 600 ₸≈ $59 790
//storage.googleapis.com/bd-kz-01/layouts-180x180/70470.png,4,от 102.89 м2,от ‍320 000 ₸ / м2≈ $740,от ‍32 924 800 ₸≈ $75 830
Класс,III класс (комфорт)
Количество секций,по 8 секций в 1 доме
Наличие лифта,"да, пассажирские"
Отопление,центральное
Паркинг,наземный
Стены,железобетон
Территория,безопасный двор без парковок и машин
Технология строительства,монолитно-каркасная
Утепление,пенополистирол
Фасад,керамическая плитка 
Этажность,5–9
"['Класс', 'III класс (комфорт)']"
"['Количество секций', 'по 8 секций в 1 доме']"
"['Наличие лифта', 'да, пассажирские']"
"['Отопление', 'центральное']"
"['Паркинг', 'наземный']"
"['Стены', 'железобетон']"
"['Территория', 'безопасный двор без парковок и машин']"
"['Технология строительства', 'монолитно-каркасная']"
"['Утепление', 'пенополистирол']"
"['Фасад', 'керамическая плитка ']"
"['Этажность', '5–9']"
